Unnamed: 0,reviewText,image,sentiment,emotion
10,"I received this item in exchange for my honest review. The package came quickly and the box is cute. The instructions on the back for making a simple paracord bracelet are easy to follow, the pictures show you everything you need to know, though I stopped reading almost immediately (spell check could have greatly helped here). Upon attempting to remove the product from the box, the end came off. It's obvious here that no screws or glue were used on this end to keep it in place as there is no debris to indicate such. I figured that the tension of making a bracelet would keep this in place anyways, more on this later. The bracelet maker is smaller and lighter than the one we purchased last year for my daughter but this is not a bad thing. Both of the buckle connectors are the same size, the smaller ones. This is fine because it's what we typically use, but it's nice having a second option available. With the plastic connectors that hold the buckles, there doesn't appear to be enough room to remove it and insert a large buckle using the same holder. I used my other paracord bracelet jig against this one and see the measurements differ slightly, though it was impossible to see which one is off...we made bracelets using the same numbers as the old jig and they fit fine, so this is a nonissue. I was a little put off by the fact that when you adjust the size, one of the legs stays put and therefore makes it appear a bit tippy, but during use I noticed I never left it on a table, it was in my lap, so the legs really didn't matter. As far as the one end not being secured, I thought that it wouldn't be an issue but twice I noticed as I was making a bracelet, it rocked back off and released. No big deal, I put it back on and the bracelet was not affected. That being said, this isn't what I would have expected when purchasing a product such as this. Also, the female buckle end that is attached to the jig doesn't fully accept the male loose buckle that you are using to make a bracelet. The prongs don't fully open inside of it, which means if you pull too hard, it will release. My daughter pointed out her more well-known jig does the exact same thing. Overall, we tested this product quite thoroughly and made several bracelets, all of which turned out great. This will make a great jig for a beginner, and the price is quite affordable.Great beginner's jigGreat beginner's jigGreat beginner's jig",https://images-na.ssl-images-amazon.com/images/I/81z5UIKOxqL._SY88.jpg,positive,happiness
11,holy crap!! this palette is so pigmented it actually blew me away! i didn't expect such a small tin to have amazing quality!!! i've only used this palette once and i'm so shook its unbelievable!!! i want to buy all of the pallets now!!! i love them so much!!! **the drawing is not done yet but i am still blown away!!MUST BUY!!!!MUST BUY!!!!MUST BUY!!!!,https://images-na.ssl-images-amazon.com/images/I/81oPe6cKMlL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81C-fSLXzNL._SY88.jpg,positive,happiness
12,"Great for art supplies, just keep in mind that it has three narrow rows that run the length of it. So if you want a wider compartment you'll need to look for a different model. This worked perfectly for me. Fit my pencils, pens, paintbrushes and erasers. You can do all kinds of combinations with the dividers they supply.Perfect for Art Supplies!Perfect for Art Supplies!Perfect for Art Supplies!",https://images-na.ssl-images-amazon.com/images/I/71bW88XcVlL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71StaHYqlHL._SY88.jpg,positive,happiness
13,"I loved it!!! The colors great and I had extra yarn left over!!pretty, fun, cute!!pretty, fun, cute!!pretty, fun, cute!!",https://images-na.ssl-images-amazon.com/images/I/61VxXmTHTFL._SY88.jpg,positive,happiness
14,I will keep ordering this soap base. It is very good quality and easy to work with.Nice and easy to manageNice and easy to manageNice and easy to manage,https://images-na.ssl-images-amazon.com/images/I/61mtOIwVLsL._SY88.jpg,positive,happiness
15,"I love these watercolors. Considering how much use I've gotten out of them, they are definitely worth the price.

Pros: Wonderful range of colors, ranging from earthy to candy-coated, and great concentrated pigment for layering. It didn't become gooey like a lot of cheap watercolors. Super easy cleanup for that reason - even easier than most watercolors.
Cons: the waterbrush was useless after the red peg to keep it shut fell out and got lost; however, I typically didn't transport it with that brush anyways.

I've used these watercolors for a lot of daily sketches as I've done daily sketches for 143 days in a row (with the goal of 300, using the book 300 Drawing Prompts). These watercolors are wonderfully portable and serve me well when I want to sketch with color. I've attached some pictures of my results to show how bright or earthy these watercolors can be.I love these watercolorsI love these watercolorsI love these watercolors",https://images-na.ssl-images-amazon.com/images/I/61qTTd8T+CL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/61IfwxWEAcL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81f16nYDaAL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71vmADiDpoL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81KSMQUmvAL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81tIn8SA8PL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/811RtMSFaXL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81i41T8NUfL._SY88.jpg,positive,happiness
16,"Perfect, fast s/h, exactly what I was looking for! No issues as far as damages or strong odors for me. Would buy from again and recommend!Perfect product and  fast shipping!Perfect product and  fast shipping!Perfect product and  fast shipping!",https://images-na.ssl-images-amazon.com/images/I/71wA8TZ0g9L._SY88.jpg,positive,happiness
17,"I do inkle loom weaving, and find this great to keep the ends from fraying when I cut the inkle straps off the loom.  I used the straps as ties for some seat pads I recently sewed.Does the job of keeping raw ends from frayingDoes the job of keeping raw ends from frayingDoes the job of keeping raw ends from fraying",https://images-na.ssl-images-amazon.com/images/I/81i2fXfsSPL._SY88.jpg,positive,happiness
18,"I've used this on numerous sewing projects, lots of baby blankets for my baby and friend's babies. It's worked flawlessly on fleece, minky, flannel and cotton, and a combination of any of those combined. I ironed it on, cut to shape, ironed the piece on the project and easily zigzag stitched the edges. It holds up perfectly after numerous washes. Love this stuff and highly recommend it. It makes a beginner like me look like a pro!perfect on so many fabrics!perfect on so many fabrics!perfect on so many fabrics!",https://images-na.ssl-images-amazon.com/images/I/718k2yg0RLL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71KCO++lBCL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71mCbr7FTSL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/713ZHuiRm-L._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81FP-a2YaKL._SY88.jpg,positive,happiness
19,"This medium is awesome! Liquitex is absolutely my favorite brand for acrylic paints and mediums. I love that all of their products are inter-mixable and the Glass Beads really compliment my artwork. I used the beads for the first time on the painting that I attached to this review. They are fun to work with. You don't want to put the medium on too thin though because the beads need something to stick to.
Title: ""Radioactive Rain"" 2015, 30 x 40 inches- Ashley Kunz / Autumn In DecemberFun to work with! Another winning medium from Liquitex!Fun to work with! Another winning medium from Liquitex!Fun to work with! Another winning medium from Liquitex!",https://images-na.ssl-images-amazon.com/images/I/71fSoMGi0uL._SY88.jpg,positive,happiness
20,"I have made two handbags now with this yarn and left a review for the first one that I made with the green color. It took two spools to complete and I did not even check the dye lot when they arrived because I ASSUMED (yes, I know) they would send me two skeins that matched. Well, they didn't, and I did not even realize until after the project was completed that parts of the bag were not quite the same shade - very close, mind you, and most people won't notice, but it is very obvious to me.

But I liked well enough how the product works to order another two skeins in a neutral color, AND I made sure when they arrived they were the same dye lot. My second bag did not use up all of both skeins, so I still have a little left - but I LOVE the bag I made with it and the color is something I can use every day.

It is hard to call this crochet ""thread"" because I am used to using fine, doily-appropriate thread with a 1 to 2 mm hook, and this is thick enough to use a size D or F hook, so I think of it as more of a 3-ply cord. Whatever you call it, it is silky smooth going through your fingers and works up very nicely. The cut ends tend to fray, so I tie 2 knots close together and cut between them. However, the fraying can actually be useful if you want to separate the three strands to use one to thread a large-eyed needle for sewing your crocheted pieces together

If I ever want to crochet another purse, I will probably order this product again - and if you order multiple spools, just be sure they are the same dye lot before removing the wrapper.This is my second experience with IrisThis is my second experience with IrisThis is my second experience with Iris",https://images-na.ssl-images-amazon.com/images/I/61p7G4Y4XvL._SY88.jpg,positive,anger
21,"This is really terrific! Instead of getting a bound coloring book, you are getting 60 individual pages printed on nice heavy duty cardstock! The pictures are excellent. It is a very nice combination of floral pictures, animals, mandalas and abstract prints. This is the combination book that has something from each of the 4 individual books that they offer. The artwork is very nice and fairly detailed. There is definitely something for everyone in this one!!This is really terrific! Instead of getting a bound coloring bookThis is really terrific! Instead of getting a bound coloring bookThis is really terrific! Instead of getting a bound coloring book",https://images-na.ssl-images-amazon.com/images/I/817cxcV9GZL._SY88.jpg,positive,happiness
22,"I received my order promptly and I am pleased with the array of colors for the most part. I would have liked to receive some red and black, but for the price I am happy.
I am disappointed in the length. While the tape itself is over 9"", the zipper is only 8"". I've attached a picture of a purple 7"" zipper purchased at Hobby Lobby and a pink zipper received in my order from YAKA. As you can see,  the HL zipper is true to it's advertised length but the YAKA zipper is 1"" shorter than advertised.
It's still a great value for the quantity.Ordered 9"" zips,  received 8"".Ordered 9"" zips,  received 8"".Ordered 9"" zips,  received 8"".",https://images-na.ssl-images-amazon.com/images/I/71GRExVBnFL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81h+ErhA09L._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81V+6jBqADL._SY88.jpg,positive,anger
23,"I purchased this paint around a year ago and used it on ceramic mugs. It has not faded, chipped away or bled. The only issue I have is that the yellow color is really thin and takes a few extra coats. Other than that, if you follow the instructions, it will work as advertised :)Lasting paintLasting paintLasting paint",https://images-na.ssl-images-amazon.com/images/I/715o7YxHfhL._SY88.jpg,positive,happiness
24,The colors are very nice!  Here's a photo of all the colors from the first three sets (from Prima Marketing) together.  Docked a star - because the metal 'flaps' don't tighten to hold the pans in place.  They slide around.  As long as I don't tilt it too far they will most likely stay in place fine.Bright colorsBright colorsBright colors,https://images-na.ssl-images-amazon.com/images/I/81i72VX8+5L._SY88.jpg,positive,happiness
25,"I am very pleased! The packaging of the product is the products overall case/cover, it is cheap but come on, the paints make up for it a lot. Especially since these are way cheaper than the FineTec and from my research, as compatible.

 Beautiful gold shimmery watercolors. They dry smooth and have great dimension, activating them is very quick especially the more darker tones such as the Red Gold (No. 902) Personally one of my favorites! The consistency is slightly creamy, you need 50/50 of water and paint on your brush in order to get good opaque pigmentation.

Make sure to clean your brush thoroughly between the lights and darks. Along with the water, if you are using regular watercolor plus these, use different jars of water unless you want shimmery colors! To be safe, I would rinse my brush under the faucet to remove the gold particles.

I apologize for not having dark paper to swatch it on, but I think the dark packaging gives these paints justice if you were curious on how it would look on black paper!Just like I expected!Just like I expected!Just like I expected!",https://images-na.ssl-images-amazon.com/images/I/71F6BTa4zJL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81r5gvxEaxL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71+XLlr8T2L._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71p9jx9xyqL._SY88.jpg,positive,happiness
26,These are a fun marker set at a great price ! Great for adult coloringFive StarsFive StarsFive Stars,https://images-na.ssl-images-amazon.com/images/I/81tV83Z4RPL._SY88.jpg,positive,happiness
27,"Love these gel pens, they truly have extra sparkle in them.  Color goes on nice and smooth and does not build up or clump.  The color of the cap is close to the color of the ink unlike some other brands so no surprise when starting to color and accidentally getting the wrong color.  With thinner paper the ink will bleed through so I highly recommend putting a paper between your pages.Extra sparkle!!Extra sparkle!!Extra sparkle!!",https://images-na.ssl-images-amazon.com/images/I/816v3fvIDKL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81134HqsL9L._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81X5u3ZFVIL._SY88.jpg,positive,happiness
28,"Awesome product! I used this to make 'mermaid hair' forHalloween. This made about 120 medium 'dreads' (these are not dreadlocks, but for descriptive purposes, they are similar).
Quality was great, very clean. Photo is on a few before I colored them.Awesome product! I used this to make 'mermaid hair' ...Awesome product! I used this to make 'mermaid hair' ...Awesome product! I used this to make 'mermaid hair' ...",https://images-na.ssl-images-amazon.com/images/I/71R7OgYXzGL._SY88.jpg,positive,happiness
29,"This set of two small scissors are very sharp and work great on cutting
thread while sewing or embroidering.
The ones that look like a bird have smaller finger holes than the other scissors.
If your have large fingers these may not work very well for you.
My fingers fit fine in both, the smaller one went up to my second knuckle on
my index finger.
They are very pretty and the gold color looks very nice.
I really like the one that looks like a bird, it is so cute.
I use these in my craft room for cutting ribbon and for sewing, crocheting
and embroidering.
Overall I am very happy with this set of scissors and have had no problems with them.

*I received a discount on this product in exchange for testing and my review.
All opinions are my own.Very cute and easy to useVery cute and easy to useVery cute and easy to use",https://images-na.ssl-images-amazon.com/images/I/41xINHc-z1L._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/61B5j6o7HSL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/41IvzJRseTL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/61hbPMuQkIL._SY88.jpg,positive,happiness
30,"Great keys! These are light but sturdy metal. They would make great necklaces. Also good for other crafts. They are 3-dimensional (not flat on the back). We bought them to use as ""surprises"" to put inside our BumbleBox handmade candles. They have a great vintage feel and are just the right size. Looks like five different designs in the package.Quality Keys, Glad I bought them!Quality Keys, Glad I bought them!Quality Keys, Glad I bought them!",https://images-na.ssl-images-amazon.com/images/I/718peWaE4AL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/711z0lElVML._SY88.jpg,positive,happiness
31,I would highly recommend this stencil. I used it to create some artwork for our newly decorated bedroom. It looks fantastic!LOVE!!!LOVE!!!LOVE!!!,https://images-na.ssl-images-amazon.com/images/I/61HEq0m2FvL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71JyOZGoWVL._SY88.jpg,positive,happiness
32,I am an avid adult coloring book fan.  I ordered the blender in the hopes of adding character to my colors.  It does not blend well with either alcohol markers or brush pens.  I tried them on several different types of paper and no matter how careful I was they caused the paper to disintegrate without blending the colors Very dissapointeddoes not blend welldoes not blend welldoes not blend well,https://images-na.ssl-images-amazon.com/images/I/61dBBEvwTHL._SY88.jpg,positive,sadness
33,Perfect as always!Easy to weed and great price!Easy to weed and great price!Easy to weed and great price!,https://images-na.ssl-images-amazon.com/images/I/71Ni6F6le2L._SY88.jpg,positive,happiness
34,Love the item. Worked perfectly and arrived on time. Will definitely buy again.Love it!Love it!Love it!,https://images-na.ssl-images-amazon.com/images/I/71r-bni8FCL._SY88.jpg,positive,happiness
35,Just loved the experience I am having with this machine!  I had a much easier time learning a few things this machine can do than I thought.  Have been afraid of a new machine for some time. I was thankful this seems to be user friendly!  Still learning a few tricks with how to embroidery with it but am getting there. I am mostly interested in coming up with my own design with free motion embroidery. I think getting the correct stabilizers is a big secret to me but figuring it out by trying to find what I want to use most. Still need to try the walking foot for quilting some table runners. Want to try my hand at stippling on the runners.  Love the stitch and actually easy of threading. Seems to have many improvements over my 30 year old machine. Like the little directions it is very helpful and keeps me on track.Happy Happy Happy Camper with this little machineHappy Happy Happy Camper with this little machineHappy Happy Happy Camper with this little machine,https://images-na.ssl-images-amazon.com/images/I/61eIATewqpL._SY88.jpg,positive,happiness
36,"I have been using Aunt Martha's tube paints for almost 40 years, in fact, I still have some of the pillow cases I used the paints on and they still look new.  I have attached a copy of Winnie the Pooh that I painted about 15 years ago, put it away and just got it out to finish it.Aunt Martha's Tube PaintAunt Martha's Tube PaintAunt Martha's Tube Paint",https://images-na.ssl-images-amazon.com/images/I/61zFhdjOvoL._SY88.jpg,positive,happiness
37,"This is an excellent art kit for beginners or kids.  With crayons, colored pencils, watercolor paints with brush and 6 various hardness of graphite pencils as well as two separate sharpeners, you can meet most basic needs. I do childcare and we can never have enough art supplies. So this was dug into really quickly. The crayons are bright and color well. They seem to be  good quality and work great. The colored pencils all appear to be well centered. They sharpen easily and color easily. They are a good selection of vibrant colors and the kids like them best. Te water color paints are definitely a step up from the 50 cent package you get for little kids. They are a nice set of water paints. You dip the brush to dampen them and then have wonderful bright pains to work with. The brush is the inexpensive basic brush you get with a kids are set, not much to send home about. The pencils are very nice. Most sets like this do not offer professional sketching pencils. I have one child I watch who is an amazing artist. I explained to her how the different numbers on the pencils correlate to hardness and how they look on paper and she flew with it. She loves having darker harder shades and softer easier to smudge shades. The pencil sharpeners are basic but I love there are two so you do not get graphite on your colored pencils and vice versa. Excellent set that will get much love here.

I received this product free in exchange for an honest and unbiased review. This opinion is my own and is in no way influenced by this discount.Great kit for beginners or kidsGreat kit for beginners or kidsGreat kit for beginners or kids",https://images-na.ssl-images-amazon.com/images/I/51nzd4+sd5L._SY88.jpg,positive,happiness
38,"Brother Embroidery Hoop 4x4 / B001TOY2O6

I purchased this for use with my&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Brother-PE700II-Embroidery-Machine-with-USB-Port/dp/B0013J8F9U/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Brother PE700II Embroidery Machine with USB Port </a>&nbsp;- the machine comes with a large 5x7 hoop, but I found that was too big for most of my projects. Smaller pieces of cloth and clothing won't fit in the 5x7 size and while you can use the bigger hoop with small pieces (with the help of adhesive stabilizer), it seemed worthwile to invest in a smaller hoop. This hoop works perfectly with the PE700II - except for the size, it is identical to the hoop that came included with the machine. Simply unscrew the clasp to loosen the hoop, set your fabric and stabilizer face-up on top of the hoop, drop the inner hoop into place, and screw to tighten.

The 4x4 is the perfect size for most patterns and most projects. The smaller size also allows for you to save on stabilizer. Embroidering clothing items, especially for children or pets, is *much* easier with this smaller hoop. Even your average bathroom washcloth is going to be smaller than 5x7 inches, so unless you're *only* planning to embroidery large items like shirts and sheets, I definitely recommend investing in a set of smaller hoops.

Two items to note: First, this 4x4 is the medium hoop attachment for the PE700II machine and is represented as such on the LCD display when viewing patterns. When the medium hoop on the LCD display is grayed out, that indicates that the pattern is too large to use with this hoop (see the product image I've posted). If you can afford only one of the smaller hoops, I would probably recommend buying this medium 4x4 hoop over the smallest 1x2 hoop (<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Brother-SA442-Small-Embroidery-Hoop-1in-x-2in/dp/B001UAUXSI/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Brother SA442 Small Embroidery Hoop (1in x 2in)</a>) over the 1x2 hoop, just because many patterns will fall just slightly out of the 1x2 measurements and you'll need to use the medium hoop size instead. However, if you can afford both, you'll definitely get a great deal of use out of them.

Which brings me to my second note: The prices for these hoop attachments seem to vary widely and that I was able to procure it for *much* cheaper than shown here as part of a hoop set that included one of each of the four major hoop sizes for my machine. So I would recommend researching around to find the best deal, price-wise. Having said that, even at full price this hoop will likely pay for itself in no time, considering the savings in stabilizers, adhesives, and material.

~ Ana MardollEssential AccessoryEssential AccessoryEssential Accessory",https://images-na.ssl-images-amazon.com/images/I/31c2eeV1CqL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/413TJwuIBiL._SY88.jpg,positive,happiness
39,"What a great pack of canvases! I received a this Medium Canvas Panel Assortment to review and it is a wonderful value and the product is great. The panels are firm and very well made. The canvas is tight and wraps around the edges of the boards so you get full edge to edge coverage. The size assortment is terrific. It includes 11"" x 14"", 9"" x 12"", 8"" x 10"" and 5"" x 7"". You get six of each of those sizes. So far I have painted with acrylics, but these are ready for what ever medium you choose to use and the different sizes expand your options.
My canvases were well packaged and arrived in terrific condition with no damage.
I will have to buy some frames, but these look like they are going to frame nicely. The back of the canvases have a name plate where you can record the name of your creation, Artist;s name, medium used, signature of the artist and the date.
This is a great assortment for artists of all kinds and experience levels. Anyone that that likes to paint, craft and create. Stock up with a single purchase and be ready anytime inspiration stikesA Great Valued, Great Quality Canvas Assortment!A Great Valued, Great Quality Canvas Assortment!A Great Valued, Great Quality Canvas Assortment!",https://images-na.ssl-images-amazon.com/images/I/71kzeCyqKbL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71CnNOJX7oL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71uFvfgRjtL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/811Rq7VAaTL._SY88.jpg,positive,happiness
40,"When I purchased these crochet hooks I was so excited to get a good set of ergonomically designed hooks that would hurt my hands less than other ones do. These purport in the title to be ""soft, but sadly, there is nothing soft about them! There are several kinds of crochet hooks on Amazon that really are soft and ergonomic. These are neither, to my hands. However, I began to think about how often I use the case they came in and am revising my review.

I really dislike giving a product a down rating, but having eventually found ergonomically designed hooks that really ARE soft elsewhere, I can honestly say that these were not soft to me. However, I used several of them and decided it would be wrong to return them as I did get some use from them. And, also honestly, I love the holder they came in and am considering buying another one of those! I did NOT contact the seller as I chose not to return them nor to ask for a refund, so this is not a case of them not doing their part. The only thing I am disagreeing with is the description of soft. They are hard enough that they sound like I am tapping wood on a table when I drop them. It does come with a set of 7 hooks from C to I US designations (from 2.75 mm to 5.5mm).

If your hands are not arthritic, this may very well be a great product for you. There is a great selection of hooks in this set and they appeared to be well made. They come in a really cool case that I have used to store other hooks in for some time now.

PROS:
Well made
Really cute storage case that is also well made
Although I think $36.99 a bit pricey for this set, I will say that the case goes for around $10 separately and so this set DID meet my 1/$1 rule of craft purchases (that is one use for every one dollar spent on it). In fact, I've used just the case to store my hooks and carry them around in the car, on trips, to family events when we would be sitting around chatting (as I can crochet and talk... but not chew gum and walk). Seriously - I love the case!

CONS:
Not really soft enough to be comfortable for my hands

The bag is really cute, though.Soft? Not really, but great selection and GREAT CASE!Soft? Not really, but great selection and GREAT CASE!Soft? Not really, but great selection and GREAT CASE!",https://images-na.ssl-images-amazon.com/images/I/51JAetuFo1L._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/71XH84-tF0L._SY88.jpg,positive,happiness
41,Good!Five StarsFive StarsFive Stars,https://images-na.ssl-images-amazon.com/images/I/71lCmErHkZL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81p3ATLHCfL._SY88.jpg; https://images-na.ssl-images-amazon.com/images/I/81Fc2uyJfmL._SY88.jpg,positive,happiness
